,date,no1,no2,no3,no4,no5,no6,no7,singular,plural,l10,l20,l30,l40,l50
326,2019-03-07,8,15,17,23,39,44,40,4,2,1,2,1,1,1
327,2019-03-05,10,16,28,32,34,49,45,1,5,1,1,1,2,1
328,2019-03-03,21,24,26,35,44,47,8,3,3,0,0,3,1,2
329,2019-02-28,22,24,25,30,32,43,11,2,4,0,0,4,1,1
330,2019-02-26,9,12,13,19,21,46,15,4,2,1,3,1,0,1
331,2019-02-23,13,14,15,21,33,49,1,5,1,0,3,1,1,1
332,2019-02-21,16,29,36,39,42,49,34,3,3,0,1,1,2,2
333,2019-02-19,2,5,8,13,16,33,41,3,3,3,2,0,1,0
334,2019-02-16,3,7,8,17,19,23,12,5,1,3,2,1,0,0
335,2019-02-14,5,8,16,20,43,46,11,2,4,2,2,0,0,2
336,2019-02-12,9,17,26,31,32,40,27,3,3,1,1,1,3,0
337,2019-02-09,1,19,29,34,39,49,43,5,1,1,1,1,2,1
338,2019-02-06,2,4,11,15,19,29,1,4,2,2,3,1,0,0
339,2019-02-03,5,6,13,19,34,35,39,4,2,2,2,0,2,0
340,2019-01-31,18,22,26,31,33,41,27,3,3,0,1,2,2,1
341,2019-01-29,3,10,14,24,32,45,29,2,4,2,1,1,1,1
342,2019-01-26,14,27,29,41,45,46,21,4,2,0,1,2,0,3
343,2019-01-24,11,18,33,41,43,46,36,4,2,0,2,0,1,3
344,2019-01-22,3,19,25,30,33,48,44,4,2,1,1,2,1,1
345,2019-01-19,13,24,31,34,44,47,8,3,3,0,1,1,2,2
346,2019-01-17,16,18,28,35,36,41,37,2,4,0,2,1,2,1
347,2019-01-15,10,16,17,33,44,48,7,2,4,1,2,0,1,2
348,2019-01-13,10,18,35,37,48,49,27,3,3,1,1,0,2,2
349,2019-01-10,6,7,28,31,36,43,23,3,3,2,0,1,2,1
350,2019-01-08,4,5,12,23,30,40,10,2,4,2,1,2,1,0
351,2019-01-05,12,13,16,19,23,45,2,4,2,0,4,1,0,1
352,2019-01-03,8,23,25,30,32,45,24,3,3,1,0,3,1,1
353,2018-12-30,6,7,13,33,35,46,43,4,2,2,1,0,2,1
354,2018-12-27,1,4,17,22,23,35,37,4,2,2,1,2,1,0
355,2018-12-25,2,14,16,32,41,47,23,2,4,1,2,0,1,2
356,2018-12-22,7,20,33,46,48,49,4,3,3,1,1,0,1,3
357,2018-12-20,4,7,8,12,13,26,42,2,4,3,2,1,0,0
358,2018-12-18,1,10,11,13,30,33,45,4,2,2,2,1,1,0
359,2018-12-15,5,10,30,33,36,37,22,3,3,2,0,1,3,0
360,2018-12-13,1,15,21,23,24,33,39,5,1,1,1,3,1,0
361,2018-12-11,7,8,10,20,33,42,22,2,4,3,1,0,1,1
362,2018-12-08,20,27,29,40,45,48,43,3,3,0,1,2,1,2
363,2018-12-06,8,20,32,40,44,46,34,0,6,1,1,0,2,2
364,2018-12-04,8,11,14,20,22,31,19,2,4,1,3,1,1,0
365,2018-12-01,2,20,29,32,38,39,47,2,4,1,1,1,3,0
366,2018-11-29,14,25,31,34,36,43,35,3,3,0,1,1,3,1
367,2018-11-27,7,8,15,27,29,38,39,4,2,2,1,2,1,0
368,2018-11-24,3,8,13,25,30,34,32,3,3,2,1,2,1,0
369,2018-11-22,15,16,18,22,26,48,34,1,5,0,3,2,0,1
370,2018-11-20,4,12,14,17,29,35,38,3,3,1,3,1,1,0
371,2018-11-17,5,9,12,14,42,43,45,3,3,2,2,0,0,2
372,2018-11-15,2,10,29,32,40,41,44,2,4,2,0,1,2,1
